,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,47,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
17,47,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
18,47,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
19,47,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
20,47,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,47,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
22,47,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,47,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,47,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,47,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
30,47,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,47,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
32,47,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
33,47,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
34,47,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
35,47,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
36,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,47,1.0,1.0,4.0,7.0,4.0,7.0,06_slipper.jpg,04_satellite_dish.jpg,7.0,4.0,7.0,7.0,04_satellite_dish.jpg,1.0,3.0,0.0,right,1.4728000000715151,0.0,High,,,,,,,,,down
44,47,2.0,1.0,7.0,6.0,7.0,6.0,04_satellite_dish.jpg,02_radio.jpg,7.0,6.0,7.0,7.0,04_satellite_dish.jpg,1.0,1.0,1.0,left,0.7827000000477251,0.0,0,,,,,,,,,down
45,47,3.0,1.0,7.0,3.0,7.0,3.0,04_satellite_dish.jpg,05_hat.jpg,7.0,3.0,3.0,3.0,05_hat.jpg,0.0,3.0,0.0,right,1.68129999995233,0.0,High,,,,,,,,,down
46,47,4.0,1.0,4.0,1.0,4.0,1.0,06_slipper.jpg,07_phone.jpg,4.0,1.0,4.0,4.0,06_slipper.jpg,1.0,3.0,0.0,left,0.9712000000477011,0.0,Low,,,,,,,,,down
47,47,5.0,1.0,5.0,7.0,5.0,7.0,01_scarf.jpg,04_satellite_dish.jpg,7.0,5.0,7.0,7.0,04_satellite_dish.jpg,1.0,3.0,0.0,right,1.239000000000032,0.0,High,,,,,,,,,down
48,47,6.0,1.0,4.0,5.0,4.0,5.0,06_slipper.jpg,01_scarf.jpg,5.0,4.0,4.0,4.0,06_slipper.jpg,0.0,0.0,1.0,left,1.542600000023867,0.0,0,,,,,,,,,down
49,47,7.0,1.0,2.0,1.0,2.0,1.0,03_dress.jpg,07_phone.jpg,2.0,1.0,1.0,1.0,07_phone.jpg,0.0,0.0,1.0,right,1.1801000000237991,0.0,0,,,,,,,,,down
50,47,8.0,1.0,2.0,4.0,2.0,4.0,03_dress.jpg,06_slipper.jpg,4.0,2.0,2.0,2.0,03_dress.jpg,0.0,3.0,0.0,left,1.000799999952278,0.0,Low,,,,,,,,,down
51,47,9.0,1.0,5.0,6.0,5.0,6.0,01_scarf.jpg,02_radio.jpg,6.0,5.0,5.0,5.0,01_scarf.jpg,0.0,0.0,1.0,left,1.01679999995224,0.0,0,,,,,,,,,down
52,47,10.0,1.0,1.0,2.0,1.0,2.0,07_phone.jpg,03_dress.jpg,2.0,1.0,,,,,2.0,1.0,,,0.0,0,,,,,,,,,down
53,47,11.0,1.0,5.0,4.0,5.0,4.0,01_scarf.jpg,06_slipper.jpg,5.0,4.0,4.0,4.0,06_slipper.jpg,0.0,0.0,1.0,right,0.802899999976148,0.0,0,,,,,,,,,down
54,47,12.0,1.0,6.0,7.0,6.0,7.0,02_radio.jpg,04_satellite_dish.jpg,7.0,6.0,7.0,7.0,04_satellite_dish.jpg,1.0,1.0,1.0,right,0.758699999928467,0.0,0,,,,,,,,,down
55,47,13.0,1.0,3.0,4.0,3.0,4.0,05_hat.jpg,06_slipper.jpg,4.0,3.0,3.0,3.0,05_hat.jpg,0.0,0.0,1.0,left,0.584899999976073,0.0,0,,,,,,,,,down
56,47,14.0,1.0,1.0,6.0,1.0,6.0,07_phone.jpg,02_radio.jpg,6.0,1.0,6.0,6.0,02_radio.jpg,1.0,3.0,0.0,right,0.6122999999523691,0.0,Med,,,,,,,,,down
57,47,15.0,1.0,6.0,5.0,6.0,5.0,02_radio.jpg,01_scarf.jpg,6.0,5.0,5.0,5.0,01_scarf.jpg,0.0,0.0,1.0,right,1.243600000023775,0.0,0,,,,,,,,,down
58,47,16.0,1.0,1.0,5.0,1.0,5.0,07_phone.jpg,01_scarf.jpg,5.0,1.0,1.0,1.0,07_phone.jpg,0.0,3.0,0.0,left,1.282500000000027,0.0,Low,,,,,,,,,down
59,47,17.0,1.0,1.0,7.0,1.0,7.0,07_phone.jpg,04_satellite_dish.jpg,7.0,1.0,7.0,7.0,04_satellite_dish.jpg,1.0,3.0,0.0,right,1.164200000047685,0.0,0,,,,,,,,,down
60,47,18.0,1.0,1.0,3.0,1.0,3.0,07_phone.jpg,05_hat.jpg,3.0,1.0,1.0,1.0,07_phone.jpg,0.0,3.0,0.0,left,0.8377999999523801,0.0,Low,,,,,,,,,down
61,47,19.0,1.0,2.0,3.0,2.0,3.0,03_dress.jpg,05_hat.jpg,3.0,2.0,2.0,2.0,03_dress.jpg,0.0,0.0,1.0,left,1.150800000071626,0.0,0,,,,,,,,,down
62,47,20.0,1.0,2.0,6.0,2.0,6.0,03_dress.jpg,02_radio.jpg,6.0,2.0,2.0,2.0,03_dress.jpg,0.0,3.0,0.0,left,1.115000000000009,0.0,Med,,,,,,,,,down
63,47,21.0,1.0,2.0,5.0,2.0,5.0,03_dress.jpg,01_scarf.jpg,5.0,2.0,2.0,2.0,03_dress.jpg,0.0,3.0,0.0,left,1.424700000047778,0.0,Low,,,,,,,,,down
