,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,133,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
16,133,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
17,133,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
18,133,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
19,133,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
20,133,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
21,133,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
22,133,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,133,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
28,133,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
29,133,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
30,133,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
31,133,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
32,133,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
33,133,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
34,133,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
35,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,133,1.0,1.0,1.0,6.0,1.0,6.0,06_slipper.jpg,02_radio.jpg,6.0,1.0,1.0,1.0,06_slipper.jpg,0.0,3.0,0.0,left,1.601800000071534,0.0,Med,,,,,,,,,down
44,133,2.0,1.0,7.0,2.0,7.0,2.0,05_hat.jpg,07_phone.jpg,7.0,2.0,7.0,7.0,05_hat.jpg,1.0,3.0,0.0,left,1.606100000023843,0.0,Med,,,,,,,,,down
45,133,3.0,1.0,5.0,7.0,5.0,7.0,03_dress.jpg,05_hat.jpg,7.0,5.0,7.0,7.0,05_hat.jpg,1.0,3.0,0.0,right,0.85349999999994,0.0,High,,,,,,,,,down
46,133,4.0,1.0,7.0,1.0,7.0,1.0,05_hat.jpg,06_slipper.jpg,7.0,1.0,,,,,2.0,0.0,,,0.0,0,,,,,,,,,down
47,133,5.0,1.0,2.0,3.0,2.0,3.0,07_phone.jpg,04_satellite_dish.jpg,3.0,2.0,3.0,3.0,04_satellite_dish.jpg,1.0,1.0,1.0,right,1.178499999999985,0.0,0,,,,,,,,,down
48,133,6.0,1.0,5.0,1.0,5.0,1.0,03_dress.jpg,06_slipper.jpg,5.0,1.0,1.0,1.0,06_slipper.jpg,0.0,3.0,0.0,right,0.7948999999762231,0.0,Low,,,,,,,,,down
49,133,7.0,1.0,3.0,7.0,3.0,7.0,04_satellite_dish.jpg,05_hat.jpg,7.0,3.0,7.0,7.0,05_hat.jpg,1.0,3.0,0.0,right,1.518100000023764,0.0,High,,,,,,,,,down
50,133,8.0,1.0,1.0,2.0,1.0,2.0,06_slipper.jpg,07_phone.jpg,2.0,1.0,1.0,1.0,06_slipper.jpg,0.0,0.0,1.0,left,0.997600000023908,0.0,0,,,,,,,,,down
51,133,9.0,1.0,5.0,4.0,5.0,4.0,03_dress.jpg,01_scarf.jpg,5.0,4.0,5.0,5.0,03_dress.jpg,1.0,1.0,1.0,left,0.750100000023849,0.0,0,,,,,,,,,down
52,133,10.0,1.0,3.0,4.0,3.0,4.0,04_satellite_dish.jpg,01_scarf.jpg,4.0,3.0,3.0,3.0,04_satellite_dish.jpg,0.0,0.0,1.0,left,0.8123000000715591,0.0,0,,,,,,,,,down
53,133,11.0,1.0,1.0,4.0,1.0,4.0,06_slipper.jpg,01_scarf.jpg,4.0,1.0,4.0,4.0,01_scarf.jpg,1.0,3.0,0.0,right,0.9269999999999071,0.0,Low,,,,,,,,,down
54,133,12.0,1.0,6.0,4.0,6.0,4.0,02_radio.jpg,01_scarf.jpg,6.0,4.0,6.0,6.0,02_radio.jpg,1.0,3.0,0.0,left,1.20929999995235,0.0,High,,,,,,,,,down
55,133,13.0,1.0,6.0,5.0,6.0,5.0,02_radio.jpg,03_dress.jpg,6.0,5.0,5.0,5.0,03_dress.jpg,0.0,0.0,1.0,right,0.7257999999523,0.0,0,,,,,,,,,down
56,133,14.0,1.0,2.0,6.0,2.0,6.0,07_phone.jpg,02_radio.jpg,6.0,2.0,6.0,6.0,02_radio.jpg,1.0,3.0,0.0,right,0.7415000000000871,0.0,Med,,,,,,,,,down
57,133,15.0,1.0,3.0,2.0,3.0,2.0,04_satellite_dish.jpg,07_phone.jpg,3.0,2.0,3.0,3.0,04_satellite_dish.jpg,1.0,1.0,1.0,left,0.761799999952359,0.0,0,,,,,,,,,down
58,133,16.0,1.0,1.0,3.0,1.0,3.0,06_slipper.jpg,04_satellite_dish.jpg,3.0,1.0,3.0,3.0,04_satellite_dish.jpg,1.0,3.0,0.0,right,1.090600000023755,0.0,Low,,,,,,,,,down
59,133,17.0,1.0,7.0,4.0,7.0,4.0,05_hat.jpg,01_scarf.jpg,7.0,4.0,7.0,7.0,05_hat.jpg,1.0,3.0,0.0,left,1.056899999976167,0.0,High,,,,,,,,,down
60,133,18.0,1.0,2.0,5.0,2.0,5.0,07_phone.jpg,03_dress.jpg,5.0,2.0,,,,,2.0,0.0,,,0.0,Low,,,,,,,,,down
61,133,19.0,1.0,7.0,6.0,7.0,6.0,05_hat.jpg,02_radio.jpg,7.0,6.0,6.0,6.0,02_radio.jpg,0.0,0.0,1.0,right,0.8912999999522521,0.0,0,,,,,,,,,down
62,133,20.0,1.0,4.0,3.0,4.0,3.0,01_scarf.jpg,04_satellite_dish.jpg,4.0,3.0,,,,,2.0,1.0,,,0.0,0,,,,,,,,,down
63,133,21.0,1.0,5.0,6.0,5.0,6.0,03_dress.jpg,02_radio.jpg,6.0,5.0,,,,,2.0,1.0,,,0.0,0,,,,,,,,,down
64,133,22.0,1.0,4.0,5.0,4.0,5.0,01_scarf.jpg,03_dress.jpg,5.0,4.0,,,,,2.0,1.0,,,0.0,0,,,,,,,,,down
65,133,23.0,1.0,5.0,3.0,5.0,3.0,03_dress.jpg,04_satellite_dish.jpg,5.0,3.0,5.0,5.0,03_dress.jpg,1.0,3.0,0.0,left,0.620399999976257,0.0,Med,,,,,,,,,down
66,133,24.0,1.0,6.0,7.0,6.0,7.0,02_radio.jpg,05_hat.jpg,7.0,6.0,7.0,7.0,05_hat.jpg,1.0,1.0,1.0,right,1.235100000023862,0.0,0,,,,,,,,,down
67,133,25.0,1.0,2.0,1.0,2.0,1.0,07_phone.jpg,06_slipper.jpg,2.0,1.0,2.0,2.0,07_phone.jpg,1.0,1.0,1.0,left,0.9718000000714251,0.0,0,,,,,,,,,down
68,133,26.0,1.0,3.0,6.0,3.0,6.0,04_satellite_dish.jpg,02_radio.jpg,6.0,3.0,,,,,2.0,0.0,,,0.0,High,,,,,,,,,down
69,133,27.0,1.0,2.0,4.0,2.0,4.0,07_phone.jpg,01_scarf.jpg,4.0,2.0,4.0,4.0,01_scarf.jpg,1.0,3.0,0.0,right,0.05929999995237201,0.0,Low,,,,,,,,,down
70,133,28.0,1.0,4.0,5.0,4.0,5.0,01_scarf.jpg,03_dress.jpg,5.0,4.0,,,,,2.0,1.0,,,0.0,0,,,,,,,,,down
