,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,199,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
15,199,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16,199,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
17,199,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
18,199,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
19,199,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
20,199,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,199,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
22,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,199,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
27,199,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
28,199,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,199,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
30,199,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
31,199,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
32,199,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
33,199,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
34,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,199,1.0,1.0,5.0,6.0,5.0,6.0,01_scarf.jpg,07_phone.jpg,6.0,5.0,6.0,6.0,07_phone.jpg,1.0,1.0,1.0,right,0.8960000000000151,0.0,0,,,,,,,,,down
42,199,2.0,1.0,4.0,5.0,4.0,5.0,02_radio.jpg,01_scarf.jpg,5.0,4.0,4.0,4.0,02_radio.jpg,0.0,0.0,1.0,left,1.206000000000017,0.0,0,,,,,,,,,down
43,199,3.0,1.0,2.0,1.0,2.0,1.0,04_satellite_dish.jpg,06_slipper.jpg,2.0,1.0,2.0,2.0,04_satellite_dish.jpg,1.0,1.0,1.0,left,1.213000000000022,0.0,0,,,,,,,,,down
44,199,4.0,1.0,7.0,3.0,7.0,3.0,05_hat.jpg,03_dress.jpg,7.0,3.0,3.0,3.0,03_dress.jpg,0.0,3.0,0.0,right,0.8740000000000231,0.0,High,,,,,,,,,down
45,199,5.0,1.0,4.0,6.0,4.0,6.0,02_radio.jpg,07_phone.jpg,6.0,4.0,4.0,4.0,02_radio.jpg,0.0,3.0,0.0,left,0.8009999999999871,0.0,High,,,,,,,,,down
46,199,6.0,1.0,7.0,5.0,7.0,5.0,05_hat.jpg,01_scarf.jpg,7.0,5.0,5.0,5.0,01_scarf.jpg,0.0,3.0,0.0,right,0.7210000000000031,0.0,High,,,,,,,,,down
47,199,7.0,1.0,3.0,4.0,3.0,4.0,03_dress.jpg,02_radio.jpg,4.0,3.0,4.0,4.0,02_radio.jpg,1.0,1.0,1.0,right,1.050999999999987,0.0,0,,,,,,,,,down
48,199,8.0,1.0,6.0,5.0,6.0,5.0,07_phone.jpg,01_scarf.jpg,6.0,5.0,6.0,6.0,07_phone.jpg,1.0,1.0,1.0,left,1.254000000000019,0.0,0,,,,,,,,,down
49,199,9.0,1.0,7.0,6.0,7.0,6.0,05_hat.jpg,07_phone.jpg,7.0,6.0,6.0,6.0,07_phone.jpg,0.0,0.0,1.0,right,0.9590000000000031,0.0,0,,,,,,,,,down
50,199,10.0,1.0,5.0,4.0,5.0,4.0,01_scarf.jpg,02_radio.jpg,5.0,4.0,4.0,4.0,02_radio.jpg,0.0,0.0,1.0,right,0.9830000000000041,0.0,0,,,,,,,,,down
51,199,11.0,1.0,1.0,4.0,1.0,4.0,06_slipper.jpg,02_radio.jpg,4.0,1.0,4.0,4.0,02_radio.jpg,1.0,3.0,0.0,right,0.8690000000000281,0.0,Low,,,,,,,,,down
52,199,12.0,1.0,7.0,2.0,7.0,2.0,05_hat.jpg,04_satellite_dish.jpg,7.0,2.0,7.0,7.0,05_hat.jpg,1.0,3.0,0.0,left,0.9780000000000081,0.0,Med,,,,,,,,,down
53,199,13.0,1.0,4.0,2.0,4.0,2.0,02_radio.jpg,04_satellite_dish.jpg,4.0,2.0,4.0,4.0,02_radio.jpg,1.0,3.0,0.0,left,1.499000000000023,0.0,Low,,,,,,,,,down
54,199,14.0,1.0,3.0,6.0,3.0,6.0,03_dress.jpg,07_phone.jpg,6.0,3.0,6.0,6.0,07_phone.jpg,1.0,3.0,0.0,right,0.8629999999999991,0.0,High,,,,,,,,,down
55,199,15.0,1.0,2.0,3.0,2.0,3.0,04_satellite_dish.jpg,03_dress.jpg,3.0,2.0,2.0,2.0,04_satellite_dish.jpg,0.0,0.0,1.0,left,0.9710000000000031,0.0,0,,,,,,,,,down
56,199,16.0,1.0,1.0,7.0,1.0,7.0,06_slipper.jpg,05_hat.jpg,7.0,1.0,7.0,7.0,05_hat.jpg,1.0,3.0,0.0,right,0.937000000000011,0.0,0,,,,,,,,,down
57,199,17.0,1.0,6.0,2.0,6.0,2.0,07_phone.jpg,04_satellite_dish.jpg,6.0,2.0,6.0,6.0,07_phone.jpg,1.0,3.0,0.0,left,1.160000000000025,0.0,Med,,,,,,,,,down
58,199,18.0,1.0,3.0,2.0,3.0,2.0,03_dress.jpg,04_satellite_dish.jpg,3.0,2.0,3.0,3.0,03_dress.jpg,1.0,1.0,1.0,left,1.031999999999982,0.0,0,,,,,,,,,down
59,199,19.0,1.0,4.0,3.0,4.0,3.0,02_radio.jpg,03_dress.jpg,4.0,3.0,4.0,4.0,02_radio.jpg,1.0,1.0,1.0,left,1.178999999999973,0.0,0,,,,,,,,,down
60,199,20.0,1.0,7.0,4.0,7.0,4.0,05_hat.jpg,02_radio.jpg,7.0,4.0,4.0,4.0,02_radio.jpg,0.0,3.0,0.0,right,0.8639999999999751,0.0,High,,,,,,,,,down
61,199,21.0,1.0,1.0,6.0,1.0,6.0,06_slipper.jpg,07_phone.jpg,6.0,1.0,6.0,6.0,07_phone.jpg,1.0,3.0,0.0,right,0.8149999999999971,0.0,Med,,,,,,,,,down
