,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
15,4,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16,4,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
17,4,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
18,4,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
19,4,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
20,4,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,4,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
27,4,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
28,4,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,4,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
30,4,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
31,4,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
32,4,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
33,4,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
34,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,1.0,1.0,1.0,5.0,1.0,5.0,01_scarf.jpg,07_phone.jpg,5.0,1.0,1.0,1.0,01_scarf.jpg,0.0,3.0,0.0,left,0.6743999999761741,0.0,Low,,,,,,,,,up
42,4,2.0,1.0,6.0,5.0,6.0,5.0,05_hat.jpg,07_phone.jpg,6.0,5.0,6.0,6.0,05_hat.jpg,1.0,1.0,1.0,left,0.9490000000000121,0.0,0,,,,,,,,,up
43,4,3.0,1.0,7.0,4.0,7.0,4.0,03_dress.jpg,06_slipper.jpg,7.0,4.0,7.0,7.0,03_dress.jpg,1.0,3.0,0.0,left,0.774800000071536,0.0,High,,,,,,,,,up
44,4,4.0,1.0,1.0,7.0,1.0,7.0,01_scarf.jpg,03_dress.jpg,7.0,1.0,1.0,1.0,01_scarf.jpg,0.0,3.0,0.0,left,1.100999999999999,0.0,0,,,,,,,,,up
45,4,5.0,1.0,5.0,6.0,5.0,6.0,07_phone.jpg,05_hat.jpg,6.0,5.0,6.0,6.0,05_hat.jpg,1.0,1.0,1.0,right,0.807300000071506,0.0,0,,,,,,,,,up
46,4,6.0,1.0,2.0,7.0,2.0,7.0,04_satellite_dish.jpg,03_dress.jpg,7.0,2.0,7.0,7.0,03_dress.jpg,1.0,3.0,0.0,right,0.660100000023874,0.0,Med,,,,,,,,,up
47,4,7.0,1.0,2.0,5.0,2.0,5.0,04_satellite_dish.jpg,07_phone.jpg,5.0,2.0,2.0,2.0,04_satellite_dish.jpg,0.0,3.0,0.0,left,1.073399999976175,0.0,Low,,,,,,,,,up
48,4,8.0,1.0,6.0,7.0,6.0,7.0,05_hat.jpg,03_dress.jpg,7.0,6.0,6.0,6.0,05_hat.jpg,0.0,0.0,1.0,left,0.705600000023878,0.0,0,,,,,,,,,up
49,4,9.0,1.0,4.0,5.0,4.0,5.0,06_slipper.jpg,07_phone.jpg,5.0,4.0,4.0,4.0,06_slipper.jpg,0.0,0.0,1.0,left,1.272700000047734,0.0,0,,,,,,,,,up
50,4,10.0,1.0,6.0,1.0,6.0,1.0,05_hat.jpg,01_scarf.jpg,6.0,1.0,6.0,6.0,05_hat.jpg,1.0,3.0,0.0,left,0.803899999976124,0.0,Med,,,,,,,,,up
51,4,11.0,1.0,1.0,2.0,1.0,2.0,01_scarf.jpg,04_satellite_dish.jpg,2.0,1.0,1.0,1.0,01_scarf.jpg,0.0,0.0,1.0,left,0.8341000000238521,0.0,0,,,,,,,,,up
52,4,12.0,1.0,4.0,3.0,4.0,3.0,06_slipper.jpg,02_radio.jpg,4.0,3.0,3.0,3.0,02_radio.jpg,0.0,0.0,1.0,right,1.451599999904658,0.0,0,,,,,,,,,up
53,4,13.0,1.0,2.0,3.0,2.0,3.0,04_satellite_dish.jpg,02_radio.jpg,3.0,2.0,2.0,2.0,04_satellite_dish.jpg,0.0,0.0,1.0,left,0.8621000000238721,0.0,0,,,,,,,,,up
54,4,14.0,1.0,5.0,4.0,5.0,4.0,07_phone.jpg,06_slipper.jpg,5.0,4.0,5.0,5.0,07_phone.jpg,1.0,1.0,1.0,left,1.203000000000031,0.0,0,,,,,,,,,up
55,4,15.0,1.0,3.0,2.0,3.0,2.0,02_radio.jpg,04_satellite_dish.jpg,3.0,2.0,3.0,3.0,02_radio.jpg,1.0,1.0,1.0,left,0.7348999999761641,0.0,0,,,,,,,,,up
56,4,16.0,1.0,5.0,7.0,5.0,7.0,07_phone.jpg,03_dress.jpg,7.0,5.0,7.0,7.0,03_dress.jpg,1.0,3.0,0.0,right,0.7300000000000181,0.0,High,,,,,,,,,up
57,4,17.0,1.0,2.0,1.0,2.0,1.0,04_satellite_dish.jpg,01_scarf.jpg,2.0,1.0,2.0,2.0,04_satellite_dish.jpg,1.0,1.0,1.0,left,0.6725000000000131,0.0,0,,,,,,,,,up
58,4,18.0,1.0,3.0,4.0,3.0,4.0,02_radio.jpg,06_slipper.jpg,4.0,3.0,3.0,3.0,02_radio.jpg,0.0,0.0,1.0,left,0.665999999999996,0.0,0,,,,,,,,,up
59,4,19.0,1.0,3.0,1.0,3.0,1.0,02_radio.jpg,01_scarf.jpg,3.0,1.0,3.0,3.0,02_radio.jpg,1.0,3.0,0.0,left,0.6650999999046121,0.0,Low,,,,,,,,,up
60,4,20.0,1.0,6.0,4.0,6.0,4.0,05_hat.jpg,06_slipper.jpg,6.0,4.0,4.0,4.0,06_slipper.jpg,0.0,3.0,0.0,right,0.9347000000476551,0.0,High,,,,,,,,,up
61,4,21.0,1.0,7.0,6.0,7.0,6.0,03_dress.jpg,05_hat.jpg,7.0,6.0,6.0,6.0,05_hat.jpg,0.0,0.0,1.0,right,0.532299999952329,0.0,0,,,,,,,,,up
62,4,22.0,1.0,3.0,5.0,3.0,5.0,02_radio.jpg,07_phone.jpg,5.0,3.0,3.0,3.0,02_radio.jpg,0.0,3.0,0.0,left,0.775200000047732,0.0,Med,,,,,,,,,up
63,4,23.0,1.0,2.0,6.0,2.0,6.0,04_satellite_dish.jpg,05_hat.jpg,6.0,2.0,6.0,6.0,05_hat.jpg,1.0,3.0,0.0,right,0.732500000000015,0.0,Med,,,,,,,,,up
64,4,24.0,1.0,2.0,4.0,2.0,4.0,04_satellite_dish.jpg,06_slipper.jpg,4.0,2.0,2.0,2.0,04_satellite_dish.jpg,0.0,3.0,0.0,left,0.443399999976179,0.0,Low,,,,,,,,,up
65,4,25.0,1.0,1.0,4.0,1.0,4.0,01_scarf.jpg,06_slipper.jpg,4.0,1.0,4.0,4.0,06_slipper.jpg,1.0,3.0,0.0,right,0.592100000023833,0.0,Low,,,,,,,,,up
66,4,26.0,1.0,6.0,3.0,6.0,3.0,05_hat.jpg,02_radio.jpg,6.0,3.0,3.0,3.0,02_radio.jpg,0.0,3.0,0.0,right,0.8878999999761841,0.0,High,,,,,,,,,up
67,4,27.0,1.0,3.0,7.0,3.0,7.0,02_radio.jpg,03_dress.jpg,7.0,3.0,3.0,3.0,02_radio.jpg,0.0,3.0,0.0,left,0.689499999999952,0.0,High,,,,,,,,,up
68,4,28.0,1.0,6.0,7.0,6.0,7.0,05_hat.jpg,03_dress.jpg,7.0,6.0,6.0,6.0,05_hat.jpg,0.0,0.0,1.0,left,0.5745,0.0,0,,,,,,,,,up
69,4,29.0,1.0,3.0,2.0,3.0,2.0,02_radio.jpg,04_satellite_dish.jpg,3.0,2.0,2.0,2.0,04_satellite_dish.jpg,0.0,0.0,1.0,right,1.147600000023885,0.0,0,,,,,,,,,up
70,4,30.0,1.0,4.0,5.0,4.0,5.0,06_slipper.jpg,07_phone.jpg,5.0,4.0,4.0,4.0,06_slipper.jpg,0.0,0.0,1.0,left,1.107599999904664,0.0,0,,,,,,,,,up
