,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,168,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
17,168,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
18,168,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
19,168,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
20,168,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,168,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
22,168,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,168,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,168,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,168,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
30,168,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,168,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
32,168,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
33,168,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
34,168,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
35,168,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
36,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,168,1.0,1.0,6.0,7.0,6.0,7.0,06_slipper.jpg,03_dress.jpg,7.0,6.0,6.0,6.0,06_slipper.jpg,0.0,0.0,1.0,left,0.6866000000015331,0.0,0,,,,,,,,,up
