,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,196,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
21,196,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
22,196,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
23,196,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
24,196,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
25,196,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
26,196,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
27,196,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
28,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,196,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
33,196,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
34,196,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
35,196,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
36,196,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
37,196,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
38,196,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
39,196,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
40,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,196,1.0,1.0,4.0,2.0,4.0,2.0,07_phone.jpg,02_radio.jpg,4.0,2.0,4.0,4.0,07_phone.jpg,1.0,3.0,0.0,left,0.8837999999989271,0.0,Low,,,,,,,,,up
48,196,2.0,1.0,5.0,1.0,5.0,1.0,03_dress.jpg,01_scarf.jpg,5.0,1.0,1.0,1.0,01_scarf.jpg,0.0,3.0,0.0,right,1.294900000000325,0.0,Low,,,,,,,,,up
49,196,3.0,1.0,2.0,6.0,2.0,6.0,02_radio.jpg,04_satellite_dish.jpg,6.0,2.0,6.0,6.0,04_satellite_dish.jpg,1.0,3.0,0.0,right,0.893499999999903,0.0,Med,,,,,,,,,up
50,196,4.0,1.0,5.0,4.0,5.0,4.0,03_dress.jpg,07_phone.jpg,5.0,4.0,5.0,5.0,03_dress.jpg,1.0,1.0,1.0,left,1.026200000001154,0.0,0,,,,,,,,,up
51,196,5.0,1.0,6.0,5.0,6.0,5.0,04_satellite_dish.jpg,03_dress.jpg,6.0,5.0,6.0,6.0,04_satellite_dish.jpg,1.0,1.0,1.0,left,1.068500000000085,0.0,0,,,,,,,,,up
52,196,6.0,1.0,1.0,4.0,1.0,4.0,01_scarf.jpg,07_phone.jpg,4.0,1.0,4.0,4.0,07_phone.jpg,1.0,3.0,0.0,right,1.160300000000688,0.0,Low,,,,,,,,,up
53,196,7.0,1.0,1.0,2.0,1.0,2.0,01_scarf.jpg,02_radio.jpg,2.0,1.0,2.0,2.0,02_radio.jpg,1.0,1.0,1.0,right,0.880200000001195,0.0,0,,,,,,,,,up
54,196,8.0,1.0,3.0,4.0,3.0,4.0,05_hat.jpg,07_phone.jpg,4.0,3.0,3.0,3.0,05_hat.jpg,0.0,0.0,1.0,left,0.926699999999073,0.0,0,,,,,,,,,up
55,196,9.0,1.0,2.0,3.0,2.0,3.0,02_radio.jpg,05_hat.jpg,3.0,2.0,2.0,2.0,02_radio.jpg,0.0,0.0,1.0,left,1.203400000000556,0.0,0,,,,,,,,,up
56,196,10.0,1.0,5.0,7.0,5.0,7.0,03_dress.jpg,06_slipper.jpg,7.0,5.0,7.0,7.0,06_slipper.jpg,1.0,3.0,0.0,right,1.458099999999603,0.0,High,,,,,,,,,up
57,196,11.0,1.0,7.0,4.0,7.0,4.0,06_slipper.jpg,07_phone.jpg,7.0,4.0,4.0,4.0,07_phone.jpg,0.0,3.0,0.0,right,1.010099999999511,0.0,High,,,,,,,,,up
58,196,12.0,1.0,1.0,7.0,1.0,7.0,01_scarf.jpg,06_slipper.jpg,7.0,1.0,7.0,7.0,06_slipper.jpg,1.0,3.0,0.0,right,0.9432000000012971,0.0,0,,,,,,,,,up
59,196,13.0,1.0,5.0,3.0,5.0,3.0,03_dress.jpg,05_hat.jpg,5.0,3.0,3.0,3.0,05_hat.jpg,0.0,3.0,0.0,right,0.800699999999096,0.0,Med,,,,,,,,,up
60,196,14.0,1.0,6.0,1.0,6.0,1.0,04_satellite_dish.jpg,01_scarf.jpg,6.0,1.0,6.0,6.0,04_satellite_dish.jpg,1.0,3.0,0.0,left,1.070200000001023,0.0,Med,,,,,,,,,up
61,196,15.0,1.0,2.0,1.0,2.0,1.0,02_radio.jpg,01_scarf.jpg,2.0,1.0,2.0,2.0,02_radio.jpg,1.0,1.0,1.0,left,1.099699999999302,0.0,0,,,,,,,,,up
62,196,16.0,1.0,5.0,6.0,5.0,6.0,03_dress.jpg,04_satellite_dish.jpg,6.0,5.0,5.0,5.0,03_dress.jpg,0.0,0.0,1.0,left,0.878100000001495,0.0,0,,,,,,,,,up
63,196,17.0,1.0,2.0,7.0,2.0,7.0,02_radio.jpg,06_slipper.jpg,7.0,2.0,2.0,2.0,02_radio.jpg,0.0,3.0,0.0,left,0.628900000000385,0.0,Med,,,,,,,,,up
64,196,18.0,1.0,6.0,7.0,6.0,7.0,04_satellite_dish.jpg,06_slipper.jpg,7.0,6.0,7.0,7.0,06_slipper.jpg,1.0,1.0,1.0,right,0.8750999999997471,0.0,0,,,,,,,,,up
65,196,19.0,1.0,3.0,2.0,3.0,2.0,05_hat.jpg,02_radio.jpg,3.0,2.0,2.0,2.0,02_radio.jpg,0.0,0.0,1.0,right,0.8543999999985771,0.0,0,,,,,,,,,up
66,196,20.0,1.0,3.0,7.0,3.0,7.0,05_hat.jpg,06_slipper.jpg,7.0,3.0,7.0,7.0,06_slipper.jpg,1.0,3.0,0.0,right,0.7416999999993551,0.0,High,,,,,,,,,up
67,196,21.0,1.0,3.0,6.0,3.0,6.0,05_hat.jpg,04_satellite_dish.jpg,6.0,3.0,6.0,6.0,04_satellite_dish.jpg,1.0,3.0,0.0,right,0.6908999999984641,0.0,High,,,,,,,,,up
68,196,22.0,1.0,6.0,4.0,6.0,4.0,04_satellite_dish.jpg,07_phone.jpg,6.0,4.0,4.0,4.0,07_phone.jpg,0.0,3.0,0.0,right,0.8612999999988911,0.0,High,,,,,,,,,up
69,196,23.0,1.0,4.0,5.0,4.0,5.0,07_phone.jpg,03_dress.jpg,5.0,4.0,4.0,4.0,07_phone.jpg,0.0,0.0,1.0,left,1.027000000000043,0.0,0,,,,,,,,,up
70,196,24.0,1.0,2.0,5.0,2.0,5.0,02_radio.jpg,03_dress.jpg,5.0,2.0,2.0,2.0,02_radio.jpg,0.0,3.0,0.0,left,0.631400000000439,0.0,Low,,,,,,,,,up
71,196,25.0,1.0,4.0,3.0,4.0,3.0,07_phone.jpg,05_hat.jpg,4.0,3.0,3.0,3.0,05_hat.jpg,0.0,0.0,1.0,right,0.8400000000001451,0.0,0,,,,,,,,,up
72,196,26.0,1.0,7.0,6.0,7.0,6.0,06_slipper.jpg,04_satellite_dish.jpg,7.0,6.0,6.0,6.0,04_satellite_dish.jpg,0.0,0.0,1.0,right,0.5367000000012461,0.0,0,,,,,,,,,up
73,196,27.0,1.0,3.0,1.0,3.0,1.0,05_hat.jpg,01_scarf.jpg,3.0,1.0,3.0,3.0,05_hat.jpg,1.0,3.0,0.0,left,0.26890000000048503,0.0,Low,,,,,,,,,up
74,196,28.0,1.0,5.0,6.0,5.0,6.0,03_dress.jpg,04_satellite_dish.jpg,6.0,5.0,6.0,6.0,04_satellite_dish.jpg,1.0,1.0,1.0,right,0.636399999998502,0.0,0,,,,,,,,,up
75,196,29.0,1.0,3.0,5.0,3.0,5.0,05_hat.jpg,03_dress.jpg,5.0,3.0,5.0,5.0,03_dress.jpg,1.0,3.0,0.0,right,0.607400000000325,0.0,Med,,,,,,,,,up
