,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,235,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
15,235,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
16,235,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
17,235,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
18,235,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
19,235,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
20,235,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,235,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
22,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,235,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
27,235,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
28,235,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,235,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
30,235,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
31,235,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
32,235,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
33,235,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
34,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,235,1.0,1.0,1.0,6.0,1.0,6.0,03_dress.jpg,06_slipper.jpg,6.0,1.0,1.0,1.0,03_dress.jpg,0.0,3.0,0.0,left,1.494499999999959,pre,Med,,,,,,,,,down
42,235,2.0,1.0,3.0,4.0,3.0,4.0,07_phone.jpg,04_satellite_dish.jpg,4.0,3.0,4.0,4.0,04_satellite_dish.jpg,1.0,1.0,1.0,right,1.173000000000001,pre,0,,,,,,,,,down
43,235,3.0,1.0,3.0,2.0,3.0,2.0,07_phone.jpg,05_hat.jpg,3.0,2.0,3.0,3.0,07_phone.jpg,1.0,1.0,1.0,left,1.212100000023838,pre,0,,,,,,,,,down
44,235,4.0,1.0,1.0,2.0,1.0,2.0,03_dress.jpg,05_hat.jpg,2.0,1.0,1.0,1.0,03_dress.jpg,0.0,0.0,1.0,left,1.3919999999999961,pre,0,,,,,,,,,down
45,235,5.0,1.0,4.0,3.0,4.0,3.0,04_satellite_dish.jpg,07_phone.jpg,4.0,3.0,3.0,3.0,07_phone.jpg,0.0,0.0,1.0,right,1.624600000023861,pre,0,,,,,,,,,down
46,235,6.0,1.0,3.0,7.0,3.0,7.0,07_phone.jpg,01_scarf.jpg,7.0,3.0,3.0,3.0,07_phone.jpg,0.0,3.0,0.0,left,1.414699999928473,pre,High,,,,,,,,,down
47,235,7.0,1.0,7.0,1.0,7.0,1.0,01_scarf.jpg,03_dress.jpg,7.0,1.0,7.0,7.0,01_scarf.jpg,1.0,3.0,0.0,left,1.430200000047705,pre,Med,,,,,,,,,down
48,235,8.0,1.0,2.0,3.0,2.0,3.0,05_hat.jpg,07_phone.jpg,3.0,2.0,3.0,3.0,07_phone.jpg,1.0,1.0,1.0,right,1.111299999952336,pre,0,,,,,,,,,down
49,235,9.0,1.0,5.0,3.0,5.0,3.0,02_radio.jpg,07_phone.jpg,5.0,3.0,5.0,5.0,02_radio.jpg,1.0,3.0,0.0,left,1.62879999995232,pre,Med,,,,,,,,,down
50,235,10.0,1.0,5.0,6.0,5.0,6.0,02_radio.jpg,06_slipper.jpg,6.0,5.0,5.0,5.0,02_radio.jpg,0.0,0.0,1.0,left,1.429800000071509,pre,0,,,,,,,,,down
51,235,11.0,1.0,6.0,4.0,6.0,4.0,06_slipper.jpg,04_satellite_dish.jpg,6.0,4.0,4.0,4.0,04_satellite_dish.jpg,0.0,3.0,0.0,right,0.9863000000715371,pre,High,,,,,,,,,down
52,235,12.0,1.0,4.0,5.0,4.0,5.0,04_satellite_dish.jpg,02_radio.jpg,5.0,4.0,4.0,4.0,04_satellite_dish.jpg,0.0,0.0,1.0,left,1.052299999952367,pre,0,,,,,,,,,down
53,235,13.0,1.0,2.0,7.0,2.0,7.0,05_hat.jpg,01_scarf.jpg,7.0,2.0,7.0,7.0,01_scarf.jpg,1.0,3.0,0.0,right,1.242100000023811,pre,Med,,,,,,,,,down
54,235,14.0,1.0,6.0,7.0,6.0,7.0,06_slipper.jpg,01_scarf.jpg,7.0,6.0,7.0,7.0,01_scarf.jpg,1.0,1.0,1.0,right,1.112799999952358,pre,0,,,,,,,,,down
55,235,15.0,1.0,5.0,1.0,5.0,1.0,02_radio.jpg,03_dress.jpg,5.0,1.0,5.0,5.0,02_radio.jpg,1.0,3.0,0.0,left,1.33430000007155,pre,Low,,,,,,,,,down
56,235,16.0,1.0,2.0,5.0,2.0,5.0,05_hat.jpg,02_radio.jpg,5.0,2.0,5.0,5.0,02_radio.jpg,1.0,3.0,0.0,right,0.956600000023854,pre,Low,,,,,,,,,down
57,235,17.0,1.0,3.0,1.0,3.0,1.0,07_phone.jpg,03_dress.jpg,3.0,1.0,3.0,3.0,07_phone.jpg,1.0,3.0,0.0,left,1.095199999928468,pre,Low,,,,,,,,,down
58,235,18.0,1.0,4.0,7.0,4.0,7.0,04_satellite_dish.jpg,01_scarf.jpg,7.0,4.0,7.0,7.0,01_scarf.jpg,1.0,3.0,0.0,right,1.364100000023825,pre,High,,,,,,,,,down
59,235,19.0,1.0,7.0,6.0,7.0,6.0,01_scarf.jpg,06_slipper.jpg,7.0,6.0,7.0,7.0,01_scarf.jpg,1.0,1.0,1.0,left,1.021899999976199,pre,0,,,,,,,,,down
60,235,20.0,1.0,5.0,7.0,5.0,7.0,02_radio.jpg,01_scarf.jpg,7.0,5.0,5.0,5.0,02_radio.jpg,0.0,3.0,0.0,left,1.152499999999975,pre,High,,,,,,,,,down
61,235,21.0,1.0,6.0,5.0,6.0,5.0,06_slipper.jpg,02_radio.jpg,6.0,5.0,5.0,5.0,02_radio.jpg,0.0,0.0,1.0,right,0.94789999997613,pre,0,,,,,,,,,down
62,235,22.0,1.0,2.0,1.0,2.0,1.0,05_hat.jpg,03_dress.jpg,2.0,1.0,2.0,2.0,05_hat.jpg,1.0,1.0,1.0,left,1.220299999952317,pre,0,,,,,,,,,down
63,235,23.0,1.0,4.0,2.0,4.0,2.0,04_satellite_dish.jpg,05_hat.jpg,4.0,2.0,4.0,4.0,04_satellite_dish.jpg,1.0,3.0,0.0,left,1.219800000071472,pre,Low,,,,,,,,,down
