,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,141,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
17,141,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
18,141,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
19,141,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
20,141,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,141,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
22,141,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,141,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,141,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,141,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
30,141,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,141,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
32,141,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
33,141,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
34,141,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
35,141,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
36,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,141,1.0,1.0,1.0,7.0,1.0,7.0,03_dress.jpg,02_radio.jpg,7.0,1.0,7.0,7.0,02_radio.jpg,1.0,3.0,0.0,right,1.8524999999999632,0.0,0,,,,,,,,,down
44,141,2.0,1.0,6.0,1.0,6.0,1.0,01_scarf.jpg,03_dress.jpg,6.0,1.0,,,,,2.0,0.0,,,0.0,Med,,,,,,,,,down
45,141,3.0,1.0,2.0,4.0,2.0,4.0,04_satellite_dish.jpg,06_slipper.jpg,4.0,2.0,,,,,2.0,0.0,,,0.0,Low,,,,,,,,,down
46,141,4.0,1.0,3.0,6.0,3.0,6.0,05_hat.jpg,01_scarf.jpg,6.0,3.0,6.0,6.0,01_scarf.jpg,1.0,3.0,0.0,right,1.516000000000076,0.0,High,,,,,,,,,down
47,141,5.0,1.0,4.0,1.0,4.0,1.0,06_slipper.jpg,03_dress.jpg,4.0,1.0,,,,,2.0,0.0,,,0.0,Low,,,,,,,,,down
48,141,6.0,1.0,2.0,7.0,2.0,7.0,04_satellite_dish.jpg,02_radio.jpg,7.0,2.0,2.0,2.0,04_satellite_dish.jpg,0.0,3.0,0.0,left,1.5064000000058961,0.0,Med,,,,,,,,,down
49,141,7.0,1.0,3.0,2.0,3.0,2.0,05_hat.jpg,04_satellite_dish.jpg,3.0,2.0,3.0,3.0,05_hat.jpg,1.0,1.0,1.0,left,2.189600000001292,0.0,0,,,,,,,,,down
50,141,8.0,1.0,4.0,6.0,4.0,6.0,06_slipper.jpg,01_scarf.jpg,6.0,4.0,6.0,6.0,01_scarf.jpg,1.0,3.0,0.0,right,1.481799999997065,0.0,High,,,,,,,,,down
51,141,9.0,1.0,4.0,5.0,4.0,5.0,06_slipper.jpg,07_phone.jpg,5.0,4.0,5.0,5.0,07_phone.jpg,1.0,1.0,1.0,right,1.6748999999986152,0.0,0,,,,,,,,,down
52,141,10.0,1.0,6.0,5.0,6.0,5.0,01_scarf.jpg,07_phone.jpg,6.0,5.0,6.0,6.0,01_scarf.jpg,1.0,1.0,1.0,left,1.7396999999955371,0.0,0,,,,,,,,,down
53,141,11.0,1.0,1.0,3.0,1.0,3.0,03_dress.jpg,05_hat.jpg,3.0,1.0,3.0,3.0,05_hat.jpg,1.0,3.0,0.0,right,2.070500000000038,0.0,Low,,,,,,,,,down
54,141,12.0,1.0,5.0,4.0,5.0,4.0,07_phone.jpg,06_slipper.jpg,5.0,4.0,5.0,5.0,07_phone.jpg,1.0,1.0,1.0,left,2.011600000001635,0.0,0,,,,,,,,,down
55,141,13.0,1.0,7.0,3.0,7.0,3.0,02_radio.jpg,05_hat.jpg,7.0,3.0,3.0,3.0,05_hat.jpg,0.0,3.0,0.0,right,1.550199999995584,0.0,High,,,,,,,,,down
56,141,14.0,1.0,1.0,2.0,1.0,2.0,03_dress.jpg,04_satellite_dish.jpg,2.0,1.0,2.0,2.0,04_satellite_dish.jpg,1.0,1.0,1.0,right,1.762600000001612,0.0,0,,,,,,,,,down
57,141,15.0,1.0,6.0,7.0,6.0,7.0,01_scarf.jpg,02_radio.jpg,7.0,6.0,6.0,6.0,01_scarf.jpg,0.0,0.0,1.0,left,1.605399999998553,0.0,0,,,,,,,,,down
58,141,16.0,1.0,2.0,5.0,2.0,5.0,04_satellite_dish.jpg,07_phone.jpg,5.0,2.0,2.0,2.0,04_satellite_dish.jpg,0.0,3.0,0.0,left,1.771199999995587,0.0,Low,,,,,,,,,down
59,141,17.0,1.0,7.0,6.0,7.0,6.0,02_radio.jpg,01_scarf.jpg,7.0,6.0,6.0,6.0,01_scarf.jpg,0.0,0.0,1.0,right,1.257000000000061,0.0,0,,,,,,,,,down
60,141,18.0,1.0,4.0,7.0,4.0,7.0,06_slipper.jpg,02_radio.jpg,7.0,4.0,4.0,4.0,06_slipper.jpg,0.0,3.0,0.0,left,1.81329999999707,0.0,High,,,,,,,,,down
61,141,19.0,1.0,7.0,5.0,7.0,5.0,02_radio.jpg,07_phone.jpg,7.0,5.0,5.0,5.0,07_phone.jpg,0.0,3.0,0.0,right,2.091600000001563,0.0,High,,,,,,,,,down
62,141,20.0,1.0,4.0,3.0,4.0,3.0,06_slipper.jpg,05_hat.jpg,4.0,3.0,,,,,2.0,1.0,,,0.0,0,,,,,,,,,down
63,141,21.0,1.0,5.0,6.0,5.0,6.0,07_phone.jpg,01_scarf.jpg,6.0,5.0,,,,,2.0,1.0,,,0.0,0,,,,,,,,,down
64,141,22.0,1.0,6.0,2.0,6.0,2.0,01_scarf.jpg,04_satellite_dish.jpg,6.0,2.0,6.0,6.0,01_scarf.jpg,1.0,3.0,0.0,left,1.411600000001499,0.0,Med,,,,,,,,,down
65,141,23.0,1.0,3.0,5.0,3.0,5.0,05_hat.jpg,07_phone.jpg,5.0,3.0,3.0,3.0,05_hat.jpg,0.0,3.0,0.0,left,1.271899999998595,0.0,Med,,,,,,,,,down
66,141,24.0,1.0,2.0,1.0,2.0,1.0,04_satellite_dish.jpg,03_dress.jpg,2.0,1.0,1.0,1.0,03_dress.jpg,0.0,0.0,1.0,right,1.756100000001424,0.0,0,,,,,,,,,down
67,141,25.0,1.0,2.0,3.0,2.0,3.0,04_satellite_dish.jpg,05_hat.jpg,3.0,2.0,2.0,2.0,04_satellite_dish.jpg,0.0,0.0,1.0,left,1.374599999994188,0.0,0,,,,,,,,,down
68,141,26.0,1.0,3.0,4.0,3.0,4.0,05_hat.jpg,06_slipper.jpg,4.0,3.0,3.0,3.0,05_hat.jpg,0.0,0.0,1.0,left,1.832700000002887,0.0,0,,,,,,,,,down
69,141,27.0,1.0,1.0,5.0,1.0,5.0,03_dress.jpg,07_phone.jpg,5.0,1.0,5.0,5.0,07_phone.jpg,1.0,3.0,0.0,right,1.120499999999992,0.0,Low,,,,,,,,,down
70,141,28.0,1.0,3.0,7.0,3.0,7.0,05_hat.jpg,02_radio.jpg,7.0,3.0,3.0,3.0,05_hat.jpg,0.0,3.0,0.0,left,1.450000000000045,0.0,High,,,,,,,,,down
71,141,29.0,1.0,7.0,6.0,7.0,6.0,02_radio.jpg,01_scarf.jpg,7.0,6.0,6.0,6.0,01_scarf.jpg,0.0,0.0,1.0,right,1.627999999999929,0.0,0,,,,,,,,,down
72,141,30.0,1.0,1.0,4.0,1.0,4.0,03_dress.jpg,06_slipper.jpg,4.0,1.0,1.0,1.0,03_dress.jpg,0.0,3.0,0.0,left,0.6547000000030031,0.0,Low,,,,,,,,,down
73,141,31.0,1.0,4.0,5.0,4.0,5.0,06_slipper.jpg,07_phone.jpg,5.0,4.0,5.0,5.0,07_phone.jpg,1.0,1.0,1.0,right,1.562199999995527,0.0,0,,,,,,,,,down
