,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,72,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
19,72,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
20,72,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
21,72,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
22,72,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,72,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
24,72,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
25,72,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
26,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,72,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,72,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
32,72,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
33,72,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
34,72,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
35,72,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
36,72,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
37,72,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
38,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
