,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,71,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
23,71,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,71,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
25,71,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
26,71,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
27,71,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
28,71,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,71,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
30,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,71,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
35,71,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
36,71,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
37,71,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
38,71,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
39,71,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
40,71,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
41,71,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
42,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
