,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,259,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
17,259,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
18,259,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
19,259,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
20,259,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,259,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
22,259,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,259,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,259,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
