,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,236,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
21,236,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
22,236,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
23,236,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
24,236,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
25,236,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
26,236,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
27,236,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
28,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,236,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
33,236,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
34,236,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
35,236,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
36,236,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
37,236,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
38,236,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
39,236,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
40,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,236,1.0,1.0,4.0,5.0,4.0,5.0,04_satellite_dish.jpg,05_hat.jpg,5.0,4.0,5.0,5.0,05_hat.jpg,1.0,1.0,1.0,right,1.028299999982095,pre,0,,,,,,,,,up
52,236,2.0,1.0,2.0,5.0,2.0,5.0,03_dress.jpg,05_hat.jpg,5.0,2.0,5.0,5.0,05_hat.jpg,1.0,3.0,0.0,right,0.9482000000178911,pre,Low,,,,,,,,,up
53,236,3.0,1.0,5.0,7.0,5.0,7.0,05_hat.jpg,02_radio.jpg,7.0,5.0,5.0,5.0,05_hat.jpg,0.0,3.0,0.0,left,1.223700000017856,pre,High,,,,,,,,,up
54,236,4.0,1.0,5.0,6.0,5.0,6.0,05_hat.jpg,07_phone.jpg,6.0,5.0,5.0,5.0,05_hat.jpg,0.0,0.0,1.0,left,1.5745999999940061,pre,0,,,,,,,,,up
55,236,5.0,1.0,2.0,7.0,2.0,7.0,03_dress.jpg,02_radio.jpg,7.0,2.0,2.0,2.0,03_dress.jpg,0.0,3.0,0.0,left,1.644000000000005,pre,Med,,,,,,,,,up
56,236,6.0,1.0,3.0,4.0,3.0,4.0,01_scarf.jpg,04_satellite_dish.jpg,4.0,3.0,4.0,4.0,04_satellite_dish.jpg,1.0,1.0,1.0,right,1.293999999999982,pre,0,,,,,,,,,up
57,236,7.0,1.0,1.0,3.0,1.0,3.0,06_slipper.jpg,01_scarf.jpg,3.0,1.0,1.0,1.0,06_slipper.jpg,0.0,3.0,0.0,left,1.550900000005981,pre,Low,,,,,,,,,up
58,236,8.0,1.0,6.0,7.0,6.0,7.0,07_phone.jpg,02_radio.jpg,7.0,6.0,6.0,6.0,07_phone.jpg,0.0,0.0,1.0,left,1.194500000000005,pre,0,,,,,,,,,up
59,236,9.0,1.0,3.0,2.0,3.0,2.0,01_scarf.jpg,03_dress.jpg,3.0,2.0,2.0,2.0,03_dress.jpg,0.0,0.0,1.0,right,1.182500000000004,pre,0,,,,,,,,,up
60,236,10.0,1.0,5.0,3.0,5.0,3.0,05_hat.jpg,01_scarf.jpg,5.0,3.0,3.0,3.0,01_scarf.jpg,0.0,3.0,0.0,right,1.813300000011963,pre,Med,,,,,,,,,up
61,236,11.0,1.0,2.0,6.0,2.0,6.0,03_dress.jpg,07_phone.jpg,6.0,2.0,6.0,6.0,07_phone.jpg,1.0,3.0,0.0,right,1.271000000000015,pre,Med,,,,,,,,,up
62,236,12.0,1.0,4.0,3.0,4.0,3.0,04_satellite_dish.jpg,01_scarf.jpg,4.0,3.0,3.0,3.0,01_scarf.jpg,0.0,0.0,1.0,right,1.171100000023841,pre,0,,,,,,,,,up
63,236,13.0,1.0,5.0,4.0,5.0,4.0,05_hat.jpg,04_satellite_dish.jpg,5.0,4.0,4.0,4.0,04_satellite_dish.jpg,0.0,0.0,1.0,right,1.138500000000021,pre,0,,,,,,,,,up
64,236,14.0,1.0,2.0,3.0,2.0,3.0,03_dress.jpg,01_scarf.jpg,3.0,2.0,3.0,3.0,01_scarf.jpg,1.0,1.0,1.0,right,1.720500000000015,pre,0,,,,,,,,,up
65,236,15.0,1.0,4.0,7.0,4.0,7.0,04_satellite_dish.jpg,02_radio.jpg,7.0,4.0,7.0,7.0,02_radio.jpg,1.0,3.0,0.0,right,2.023599999994076,pre,High,,,,,,,,,up
66,236,16.0,1.0,1.0,2.0,1.0,2.0,06_slipper.jpg,03_dress.jpg,2.0,1.0,1.0,1.0,06_slipper.jpg,0.0,0.0,1.0,left,1.435800000011909,pre,0,,,,,,,,,up
67,236,17.0,1.0,3.0,6.0,3.0,6.0,01_scarf.jpg,07_phone.jpg,6.0,3.0,3.0,3.0,01_scarf.jpg,0.0,3.0,0.0,left,1.377100000023858,pre,High,,,,,,,,,up
68,236,18.0,1.0,6.0,4.0,6.0,4.0,07_phone.jpg,04_satellite_dish.jpg,6.0,4.0,6.0,6.0,07_phone.jpg,1.0,3.0,0.0,left,1.308100000023841,pre,High,,,,,,,,,up
69,236,19.0,1.0,5.0,1.0,5.0,1.0,05_hat.jpg,06_slipper.jpg,5.0,1.0,5.0,5.0,05_hat.jpg,1.0,3.0,0.0,left,0.8245,pre,Low,,,,,,,,,up
70,236,20.0,1.0,1.0,6.0,1.0,6.0,06_slipper.jpg,07_phone.jpg,6.0,1.0,6.0,6.0,07_phone.jpg,1.0,3.0,0.0,right,1.548400000005983,pre,Med,,,,,,,,,up
71,236,21.0,1.0,6.0,5.0,6.0,5.0,07_phone.jpg,05_hat.jpg,6.0,5.0,5.0,5.0,05_hat.jpg,0.0,0.0,1.0,right,0.897599999994042,pre,0,,,,,,,,,up
72,236,22.0,1.0,1.0,7.0,1.0,7.0,06_slipper.jpg,02_radio.jpg,7.0,1.0,1.0,1.0,06_slipper.jpg,0.0,3.0,0.0,left,1.45420000001792,pre,Med,,,,,,,,,up
73,236,23.0,1.0,7.0,3.0,7.0,3.0,02_radio.jpg,01_scarf.jpg,7.0,3.0,3.0,3.0,01_scarf.jpg,0.0,3.0,0.0,right,1.1924000000059891,pre,High,,,,,,,,,up
74,236,24.0,1.0,7.0,6.0,7.0,6.0,02_radio.jpg,07_phone.jpg,7.0,6.0,6.0,6.0,07_phone.jpg,0.0,0.0,1.0,right,0.834400000005985,pre,0,,,,,,,,,up
