,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,49,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
20,49,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,49,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
22,49,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
23,49,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,49,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
25,49,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
26,49,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
27,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,49,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
32,49,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
