,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,105,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
19,105,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
20,105,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
21,105,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
22,105,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,105,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
24,105,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
25,105,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
26,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,105,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,105,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
32,105,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
33,105,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
34,105,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
35,105,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
36,105,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
37,105,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
38,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
