,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,45,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
23,45,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,45,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
25,45,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
26,45,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
27,45,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
28,45,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,45,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
30,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,45,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
35,45,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
36,45,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
37,45,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
38,45,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
39,45,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
40,45,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
41,45,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
42,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,45,1.0,1.0,1.0,2.0,1.0,2.0,01_scarf.jpg,02_radio.jpg,2.0,1.0,1.0,1.0,01_scarf.jpg,0.0,0.0,1.0,left,1.119800000071563,0.0,0,,,,,,,,,down
50,45,2.0,1.0,1.0,5.0,1.0,5.0,01_scarf.jpg,05_hat.jpg,5.0,1.0,5.0,5.0,05_hat.jpg,1.0,3.0,0.0,right,0.8457000000477131,0.0,Low,,,,,,,,,down
51,45,3.0,1.0,5.0,6.0,5.0,6.0,05_hat.jpg,03_dress.jpg,6.0,5.0,5.0,5.0,05_hat.jpg,0.0,0.0,1.0,left,0.601100000023848,0.0,0,,,,,,,,,down
52,45,4.0,1.0,4.0,7.0,4.0,7.0,04_satellite_dish.jpg,07_phone.jpg,7.0,4.0,4.0,4.0,04_satellite_dish.jpg,0.0,3.0,0.0,left,1.852200000047673,0.0,High,,,,,,,,,down
53,45,5.0,1.0,6.0,4.0,6.0,4.0,03_dress.jpg,04_satellite_dish.jpg,6.0,4.0,6.0,6.0,03_dress.jpg,1.0,3.0,0.0,left,1.594800000071529,0.0,High,,,,,,,,,down
54,45,6.0,1.0,3.0,1.0,3.0,1.0,06_slipper.jpg,01_scarf.jpg,3.0,1.0,1.0,1.0,01_scarf.jpg,0.0,3.0,0.0,right,1.202799999952333,0.0,Low,,,,,,,,,down
55,45,7.0,1.0,5.0,2.0,5.0,2.0,05_hat.jpg,02_radio.jpg,5.0,2.0,2.0,2.0,02_radio.jpg,0.0,3.0,0.0,right,1.173100000023851,0.0,Low,,,,,,,,,down
56,45,8.0,1.0,4.0,5.0,4.0,5.0,04_satellite_dish.jpg,05_hat.jpg,5.0,4.0,5.0,5.0,05_hat.jpg,1.0,1.0,1.0,right,1.068899999976167,0.0,0,,,,,,,,,down
57,45,9.0,1.0,6.0,7.0,6.0,7.0,03_dress.jpg,07_phone.jpg,7.0,6.0,6.0,6.0,03_dress.jpg,0.0,0.0,1.0,left,0.6997000000476411,0.0,0,,,,,,,,,down
58,45,10.0,1.0,4.0,3.0,4.0,3.0,04_satellite_dish.jpg,06_slipper.jpg,4.0,3.0,3.0,3.0,06_slipper.jpg,0.0,0.0,1.0,right,1.340000000000031,0.0,0,,,,,,,,,down
59,45,11.0,1.0,3.0,2.0,3.0,2.0,06_slipper.jpg,02_radio.jpg,3.0,2.0,2.0,2.0,02_radio.jpg,0.0,0.0,1.0,right,1.117199999928459,0.0,0,,,,,,,,,down
60,45,12.0,1.0,5.0,4.0,5.0,4.0,05_hat.jpg,04_satellite_dish.jpg,5.0,4.0,5.0,5.0,05_hat.jpg,1.0,1.0,1.0,left,1.5072999999522951,0.0,0,,,,,,,,,down
61,45,13.0,1.0,2.0,4.0,2.0,4.0,02_radio.jpg,04_satellite_dish.jpg,4.0,2.0,4.0,4.0,04_satellite_dish.jpg,1.0,3.0,0.0,right,1.17120000004769,0.0,Low,,,,,,,,,down
62,45,14.0,1.0,5.0,7.0,5.0,7.0,05_hat.jpg,07_phone.jpg,7.0,5.0,5.0,5.0,05_hat.jpg,0.0,3.0,0.0,left,0.810899999976129,0.0,High,,,,,,,,,down
63,45,15.0,1.0,6.0,2.0,6.0,2.0,03_dress.jpg,02_radio.jpg,6.0,2.0,2.0,2.0,02_radio.jpg,0.0,3.0,0.0,right,0.9517000000476511,0.0,Med,,,,,,,,,down
64,45,16.0,1.0,2.0,1.0,2.0,1.0,02_radio.jpg,01_scarf.jpg,2.0,1.0,2.0,2.0,02_radio.jpg,1.0,1.0,1.0,left,0.824600000023849,0.0,0,,,,,,,,,down
65,45,17.0,1.0,3.0,5.0,3.0,5.0,06_slipper.jpg,05_hat.jpg,5.0,3.0,3.0,3.0,06_slipper.jpg,0.0,3.0,0.0,left,1.516400000095416,0.0,Med,,,,,,,,,down
