,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,7,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
17,7,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
18,7,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
19,7,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
20,7,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
21,7,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
22,7,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,7,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
24,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,7,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
29,7,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
30,7,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,7,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
32,7,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
33,7,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
34,7,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
35,7,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,7,1.0,1.0,3.0,5.0,3.0,5.0,01_scarf.jpg,04_satellite_dish.jpg,5.0,3.0,3.0,3.0,01_scarf.jpg,0.0,3.0,0.0,left,0.9383000000007651,0.0,Med,,,,,,,,,down
44,7,2.0,1.0,6.0,5.0,6.0,5.0,05_hat.jpg,04_satellite_dish.jpg,6.0,5.0,6.0,6.0,05_hat.jpg,1.0,1.0,1.0,left,1.210899999998503,0.0,0,,,,,,,,,down
45,7,3.0,1.0,1.0,4.0,1.0,4.0,07_phone.jpg,03_dress.jpg,4.0,1.0,4.0,4.0,03_dress.jpg,1.0,3.0,0.0,right,1.291699999999252,0.0,Low,,,,,,,,,down
46,7,4.0,1.0,3.0,4.0,3.0,4.0,01_scarf.jpg,03_dress.jpg,4.0,3.0,3.0,3.0,01_scarf.jpg,0.0,0.0,1.0,left,1.5494000000003891,0.0,0,,,,,,,,,down
47,7,5.0,1.0,2.0,1.0,2.0,1.0,02_radio.jpg,07_phone.jpg,2.0,1.0,2.0,2.0,02_radio.jpg,1.0,1.0,1.0,left,1.688099999999622,0.0,0,,,,,,,,,down
48,7,6.0,1.0,3.0,2.0,3.0,2.0,01_scarf.jpg,02_radio.jpg,3.0,2.0,2.0,2.0,02_radio.jpg,0.0,0.0,1.0,right,1.506600000001526,0.0,0,,,,,,,,,down
49,7,7.0,1.0,1.0,5.0,1.0,5.0,07_phone.jpg,04_satellite_dish.jpg,5.0,1.0,1.0,1.0,07_phone.jpg,0.0,3.0,0.0,left,1.758699999999237,0.0,Low,,,,,,,,,down
50,7,8.0,1.0,4.0,7.0,4.0,7.0,03_dress.jpg,06_slipper.jpg,7.0,4.0,4.0,4.0,03_dress.jpg,0.0,3.0,0.0,left,1.089600000001496,0.0,High,,,,,,,,,down
