,Participant,Trial,Block,Item_1,Item_2,Rank_1,Rank_2,Image_1,Image_2,Winner,Loser,Chosen_item,Chosen_rank,Chosen_name,Accuracy,Acc_feedback,Feedback_on,key_resp.keys,key_resp.rt,Switched,Pair_value,final_loc_item_01_scarf.jpg,final_loc_item_02_radio.jpg,final_loc_item_03_dress.jpg,final_loc_item_04_satellite_dish.jpg,final_loc_item_05_hat.jpg,final_loc_item_06_slipper.jpg,final_loc_item_07_phone.jpg,mouse_select.clicked_name,Direction
0,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,249,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
19,249,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
20,249,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
21,249,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
22,249,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
23,249,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
24,249,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
25,249,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
26,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,249,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,249,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
32,249,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
33,249,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
34,249,,1.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,
